JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2434796.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434796.7,0.7,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434797.5,0.3,,,Vis.,BAW,C,,,,,,,V,,,,ALF ORI,,STD,,,,
2434797.6,1.0,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434799.5,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434799.6,0.8,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434799.6,0.8,,,Vis.,LIZ,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434799.7,0.8,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434801.33,0.8,,,Vis.,ELD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434802.5,0.9,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434802.6,0.8,,,Vis.,LIZ,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434802.7,0.9,,,Vis.,C38,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434804.5,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434804.5,0.9,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434804.5,0.9,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434804.5,0.8,,,Vis.,RP,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434804.6,0.9,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434804.7,0.9,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434807.6,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434807.6,0.8,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434807.7,0.8,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434808.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434808.6,0.9,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434809.6,0.9,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434810.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434810.5,0.7,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434810.5,0.9,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434810.7,0.6,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434811.5,0.8,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434812.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434813.5,0.9,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434813.6,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434813.6,0.9,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434814.5,1.0,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434817.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434817.5,0.8,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434817.6,0.4,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434817.6,0.7,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434819.5,1.0,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434820.5,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434820.5,0.9,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434820.5,0.8,,,Vis.,RP,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434824.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434824.5,0.8,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434824.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434826.33,0.9,,,Vis.,ELD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434828.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434829.5,0.9,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434832.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434834.32,0.8,,,Vis.,ELD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434834.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434834.6,0.8,,,Vis.,RP,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434835.6,0.7,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434835.6,0.9,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434836.7,0.7,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434836.7,0.9,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434837.5,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434837.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434840.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434840.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434841.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434842.6,0.7,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434845.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434845.6,0.8,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434845.7,0.8,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434845.7,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434848.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434851.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434852.6,0.8,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434852.7,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434853.5,0.9,,,Vis.,RP,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434853.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434853.6,0.9,,,Vis.,CR,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434854.6,0.7,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434855.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434855.7,0.8,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434856.6,0.2,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434857.6,0.7,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434857.7,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434861.6,0.2,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434862.6,0.8,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434863.5,0.8,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434863.7,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434869.5,0.9,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434869.6,0.8,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434871.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434879.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434980.3,0.2,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,ALF ORI,,STD,,,,RASNZ
2434981.6,0.6,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434987.9,0.3,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434988.9,0.3,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434989.8,0.6,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434989.9,0.3,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434990.2,0.1,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,ALF ORI,,STD,,,,RASNZ
2434992.8,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434992.8,0.6,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434997.9,0.3,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2434998.8,0.6,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435005.0,0.4,,,Vis.,CR,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435006.8,0.6,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435007.9,0.6,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435008.9,0.7,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435010.8,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435010.8,0.6,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435011.6,0.7,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435013.8,0.6,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435013.9,0.4,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435015.2,0.4,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,ALF ORI,,STD,,,,RASNZ
2435018.8,0.6,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435018.9,0.6,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435018.9,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435023.9,0.7,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435028.7,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435028.7,0.7,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435031.8,0.6,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435032.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435035.9,0.9,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435037.8,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435038.7,0.8,,,Vis.,C35,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435038.7,0.6,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435038.7,0.7,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435039.6,0.6,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435039.7,0.8,,,Vis.,RP,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435039.8,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435039.8,0.7,,,Vis.,ZD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435041.2,0.2,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,ALF ORI,,STD,,,,RASNZ
2435046.6,0.7,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435046.6,0.6,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435046.8,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435047.7,0.7,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435048.7,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435048.7,0.7,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435048.8,0.9,,,Vis.,RP,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435052.6,0.6,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435052.7,0.7,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435052.7,0.3,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435052.8,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435053.7,0.5,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435054.6,0.8,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435055.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435056.8,0.7,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435057.6,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435057.7,0.6,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435058.6,0.5,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435059.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435059.6,0.7,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435059.7,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435061.6,0.7,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435063.7,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435067.2,0.3,,,Vis.,TC,P,,,,,,,V,,,,ALF ORI,,STD,,,,
2435067.4,0.9,,,Vis.,ELD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435068.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435068.6,0.7,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435068.7,0.7,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435070.1,0.3,,,Vis.,TC,P,,,,,,,V,,,,ALF ORI,,STD,,,,
2435072.6,0.7,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435072.7,0.6,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435072.7,0.9,,,Vis.,RP,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435073.1,0.3,,,Vis.,TC,P,,,,,,,V,,,,ALF ORI,,STD,,,,
2435073.6,0.8,,,Vis.,HEC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435073.6,0.7,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435074.9,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435076.6,0.2,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435077.6,0.8,,,Vis.,HEC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435077.6,0.6,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435077.6,0.7,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435077.7,0.9,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435077.7,0.7,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435079.36,0.8,,,Vis.,ELD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435079.7,0.7,,,Vis.,SN,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435080.7,0.8,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435080.7,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435083.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435083.7,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435085.7,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435088.6,0.8,,,Vis.,HEC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435088.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435088.7,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435088.7,0.7,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435088.8,0.8,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435093.6,0.8,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435093.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435093.6,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435093.7,1.0,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435093.7,0.9,,,Vis.,RP,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435095.6,0.6,,,Vis.,HEC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435095.6,0.8,,,Vis.,SN,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435096.6,0.6,,,Vis.,WY,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435096.7,0.7,,,Vis.,AWC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435096.7,0.6,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435098.6,0.7,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435099.6,0.4,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435099.6,0.8,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435100.35,0.9,,,Vis.,ELD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435100.5,0.8,,,Vis.,SN,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435100.6,0.3,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435101.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435101.6,0.6,,,Vis.,WZ,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435102.5,0.9,,,Vis.,HEC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435102.5,0.9,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435102.7,0.8,,,Vis.,SGW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435103.6,0.7,,,Vis.,KV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435103.6,0.9,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435103.7,0.7,,,Vis.,C35,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435103.7,0.7,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435103.7,0.8,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435104.1,0.4,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,ALF ORI,,STD,,,,RASNZ
2435104.7,0.8,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435107.5,0.8,,,Vis.,SN,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435107.8,0.8,,,Vis.,MRS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435108.5,0.8,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435108.5,0.9,,,Vis.,RB,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435108.52,0.9,,,Vis.,ELD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435108.6,0.8,,,Vis.,SGW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435109.6,0.9,,,Vis.,HEC,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435110.5,0.8,,,Vis.,SK,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435110.5,0.6,,,Vis.,WZ,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435110.6,0.2,,,Vis.,BAW,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435110.6,0.8,,,Vis.,OV,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435112.6,0.8,,,Vis.,HHG,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435112.7,0.8,,,Vis.,SN,,,,,,,,V,,,,ALF ORI,,STD,,,,
2435113.6,0.9,,,Vis.,KS,,,,,,,,V,,,,ALF ORI,,STD,,,,
